claim_id,claim,stance,evidence_summary,source_path,field_or_table,allowed_wording
C1,SAS-Cert is currently supported as a diagnostic reliability certificate for EEG augmentation candidates,supported,"component-gated v1 AUC is 0.8395 and artifact-gate physio AUC is 0.9022 on both CBraMod and ST",outputs/runs/sas_cert_diagnostic_certificate_pack_physionetmi/compact_result.json,diagnostic_auc_rows,"supported as diagnostic certificate"
C2,The old scalar SAS score is directionally wrong on the PhysioNetMI mixed-bad pool,supported,"current scalar SAS AUC is 0.1969 on CBraMod and 0.1662 on ST",outputs/runs/sas_cert_diagnostic_certificate_pack_physionetmi/tables/diagnostic_auc_summary.csv,current_scalar_sas_auc,"directionally wrong on this pool"
C3,Artifact-gate physio is the strongest diagnostic variant in the current pack,supported,"artifact-gate physio AUC is 0.9022 on both backbones, higher than component-gated v1 0.8395",outputs/runs/sas_cert_diagnostic_certificate_pack_physionetmi/tables/diagnostic_auc_summary.csv,artifact_gate_physio_auc,"strongest diagnostic variant in this pack"
C4,Current weighting or rejection policies are not reliable deployable training methods,supported,"CBraMod repaired weighting improves Macro-F1 but worsens ECE; ST SoftWeight improves mean Macro-F1 but fails subject/seed reliability",outputs/runs/sas_cert_diagnostic_certificate_pack_physionetmi/tables/training_policy_summary.csv,decision,"not promoted as deployable policy"
C5,CBraMod repaired artifact-gate physio produces classification gains but fails calibration,supported,"Macro-F1 +4.26pp, ECE +2.27pp",workbench/20260622_cbramod_physionetmi_sascert_matched/outputs/compact_cbramod_physionetmi_sascert_result_repaired_mini.json,primary_vs_naive,"classification gain with calibration risk"
C6,ST SoftWeight no-reject gives a positive mean effect but fails reliability,supported,"Macro-F1 +0.64pp, majority-seed subject win rate 0.15, seed win rate 0.00",workbench/20260622_steegformer_sascert_core/outputs/locked_confirm/compact_softweight_locked_confirm.json,comparisons.softweight_vs_naive,"positive mean but unreliable"
C7,Candidate-only fold summaries do not explain ST SoftWeight benefit,supported,"max candidate-only Spearman is 0.1168, below 0.35 threshold",workbench/20260622_steegformer_sascert_core/outputs/utility_alignment_audit/compact_utility_alignment_audit.json,top_correlations[0],"no strong candidate-only alignment"
C8,Protocol leakage was not detected in the diagnostic pack,supported,"protocol gate passed; target heldout not used for score or threshold selection in audits",outputs/runs/sas_cert_diagnostic_certificate_pack_physionetmi/tables/protocol_leakage_audit.csv,all rows,"no protocol leakage detected in audited outputs"
C9,SAS-Cert improves few-shot accuracy reliably across subjects and seeds,unsupported,"ST and CBraMod training policies were explicitly not promoted",outputs/runs/sas_cert_diagnostic_certificate_pack_physionetmi/compact_result.json,training_policy_rows,"do not claim"
C10,SAS-Cert should be presented as an augmentation-selection method ready for deployment,unsupported,"weighting-policy non-promotion gate passed, meaning non-promotion is part of the final decision",outputs/runs/sas_cert_diagnostic_certificate_pack_physionetmi/compact_result.json,gates.weighting_policy_non_promotion_pass,"do not claim"
